City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,chibougamau,49.9168,-74.3659,-7.21,79,100,7.2,CA,1708890884
118,fuglafjordur,62.244,-6.814,0.26,76,100,7.5,FO,1708890884
119,shiguai,40.7058,110.2856,-6.21,71,100,1.53,CN,1708890885
120,saipan,15.1355,145.701,24.39,83,0,3.09,MP,1708890885
121,san pedro de ycuamandiyu,-24.0917,-57.0764,36.98,37,86,1.88,PY,1708890885
122,hawaiian paradise park,19.5933,-154.9731,22.8,84,75,2.57,US,1708890885
123,talnakh,69.4865,88.3972,-16.55,94,100,6.42,RU,1708890885
124,west island,-12.1568,96.8225,27.97,76,7,6.03,CC,1708890886
125,kingston,17.997,-76.7936,27.53,76,75,4.12,JM,1708890886
126,inirida,3.8653,-67.9239,37.65,29,100,0.25,CO,1708890886
127,karatas,36.582,35.3701,13.08,70,64,1.96,TR,1708890887
128,tual,-5.6667,132.75,28.3,79,100,7.7,ID,1708890887
129,margaret river,-33.95,115.0667,17.78,73,100,2.67,AU,1708890887
130,gamay,12.3854,125.2979,24.21,87,38,4.72,PH,1708890887
131,happy valley-goose bay,53.3168,-60.3315,-12.83,61,75,5.14,CA,1708890888
132,ha'il,27.5219,41.6907,11.01,66,0,1.03,SA,1708890888
133,mahina,-17.5065,-149.489,29.87,74,0,1.54,PF,1708890889
134,uturoa,-16.7333,-151.4333,28.54,76,24,4.33,PF,1708890889
135,deqen,29.9618,90.7188,-3.33,31,50,1.98,CN,1708890889
136,arkhangel'sk,64.5401,40.5433,3.06,74,75,6.0,RU,1708890889
137,santo antonio da platina,-23.295,-50.0772,30.38,58,95,1.35,BR,1708890890
138,pisco,-13.7,-76.2167,30.03,54,84,9.77,PE,1708890859
139,baracoa,20.3467,-74.4958,25.43,66,40,4.17,CU,1708890891
140,geiro,-6.15,36.8667,17.94,97,100,1.16,TZ,1708890891
141,blythe,33.6103,-114.5964,22.25,26,0,0.0,US,1708890891
142,jijiga,9.35,42.8,20.49,19,18,3.51,ET,1708890891
143,college,64.8569,-147.8028,-13.29,74,100,0.0,US,1708890892
144,balimbing,5.0825,119.9658,26.05,86,96,3.13,PH,1708890892
145,bay roberts,47.5999,-53.2648,-0.14,69,100,5.81,CA,1708890892
146,strezhevoy,60.7333,77.5889,-19.46,99,67,2.24,RU,1708890893
147,vadso,70.0744,29.7487,0.09,80,75,8.75,NO,1708890893
148,las veredas,23.1388,-109.7075,33.41,47,0,2.24,MX,1708890893
149,hyrum,41.6341,-111.8522,13.03,56,0,3.6,US,1708890893
150,nikolayevsk-on-amure,53.1406,140.73,-22.72,100,99,0.36,RU,1708890894
151,mogocha,53.7333,119.7667,-28.18,97,5,1.7,RU,1708890894
152,guayaramerin,-10.8368,-65.3614,31.03,66,40,2.57,BO,1708890894
153,hampton bays,40.869,-72.5176,3.08,54,0,3.13,US,1708890895
154,lagoa,39.05,-27.9833,15.6,93,5,7.11,PT,1708890895
155,muynoq,43.7683,59.0214,-0.41,56,6,6.95,UZ,1708890895
156,zabol,32.25,67.25,3.8,67,100,1.47,AF,1708890895
157,santa cruz,-17.8,-63.1667,28.7,69,75,4.12,BO,1708890898
158,fort bragg,35.139,-79.006,13.23,50,20,0.89,US,1708890901
159,mar del plata,-38.0023,-57.5575,21.08,73,40,8.23,AR,1708890662
160,priozersk,61.0393,30.1291,0.53,86,100,1.87,RU,1708890906
161,constantia,44.1833,28.65,8.38,91,100,5.31,RO,1708890845
